user_id,age,I,T,R,K,A,E
1,16.1,2,51,20.1,25,15,5
2,13.8,1,31,11,15,9,3
3,13,1,38,25.1,19,11,3
4,16.2,2,57,38.5,28,16,5
5,16.3,2,84,27.4,42,25,8
6,15.5,2,61,36.6,30,18,6
7,16,2,44,24.8,22,13,4
8,15.4,2,51,30.5,25,15,5
9,16.4,2,69,44.6,34,20,6
10,13.3,1,38,25.1,19,11,3
11,16.2,2,53,31.9,26,15,5
12,15.8,2,90,27.3,45,27,9
13,15.3,2,68,43.9,34,20,6
14,13,1,51,26.3,25,15,5
15,16.3,2,55,43.1,27,16,5
16,16.1,2,57,35.1,28,16,5
17,15.9,2,72,31,36,21,7
18,15.8,2,92,48.7,46,27,9
19,16.1,2,41,47.3,20,12,4
20,13.7,1,41,18.9,20,12,4
21,12.2,1,51,18.7,25,15,5
22,13,1,43,15.5,21,12,4
23,15.9,2,50,41.4,25,15,5
24,15.3,2,68,36.6,34,20,6
25,12.4,1,51,18.8,25,15,5
26,13.3,1,43,22,21,12,4
27,13,1,39,20.1,19,11,3
28,16.1,2,71,37.5,35,21,7
29,16.4,2,79,31.9,39,23,7
30,15.9,2,59,44,29,17,5
31,16.3,2,37,34.9,18,10,3
32,13.6,1,56,24,28,16,5
33,15.4,2,38,15.2,19,11,3
34,12.4,1,39,15.6,19,11,3
35,12.2,1,35,11.2,17,10,3
36,16.4,2,61,41.5,30,18,6
37,15.7,2,76,36.4,38,22,7
38,15.9,2,66,43.1,33,19,6
39,15.6,2,54,32.3,27,16,5
40,12.2,1,48,26.8,24,14,4
41,12.7,1,39,18.9,19,11,3
42,16.3,2,34,33.3,17,10,3
43,15.8,2,44,29.1,22,13,4
44,15.7,2,67,36.3,33,19,6
45,15.5,2,69,29,34,20,6
46,13.2,1,37,24.6,18,10,3
47,15.7,2,64,31.1,32,19,6
48,13.1,1,59,11.7,29,17,5
49,12.1,1,46,25.1,23,13,4
50,15.5,2,50,41.9,25,15,5
51,13.4,1,51,20.2,25,15,5
52,12.2,1,41,21.2,20,12,4
53,12.7,1,37,25.2,18,10,3
54,15.7,2,56,28,28,16,5
55,12.9,1,25,20.9,12,7,2
56,16.6,2,67,36.6,33,19,6
57,12.4,1,44,19.1,22,13,4
58,15.5,2,47,30.1,23,13,4
59,13.5,1,57,16.1,28,16,5
60,15.2,2,71,19.9,35,21,7
61,13.6,1,53,30.2,26,15,5
62,15.9,2,78,33.1,39,23,7
63,12.8,1,35,17.3,17,10,3
64,16.6,2,87,34.7,43,25,8
65,16.1,2,55,21.3,27,16,5
66,12.1,1,59,18.6,29,17,5
67,12.5,1,48,16.5,24,14,4
68,12.8,1,62,24.4,31,18,6
69,15.4,2,58,41.9,29,17,5
70,14.4,1,49,17.5,24,14,4
71,15.2,2,66,32.9,33,19,6
72,13.6,1,23,21.5,11,6,2
73,15.8,2,45,25.2,22,13,4
74,16,2,79,33.1,39,23,7
75,12.1,1,29,14.1,14,8,2
76,15.3,2,77,49.5,38,22,7
77,12.6,1,49,21.8,24,14,4
78,12.7,1,28,16.3,14,8,2
79,16.7,2,71,20.4,35,21,7
80,15.6,2,92,38.7,46,27,9
81,15.7,2,76,36.1,38,22,7
82,15.9,2,73,31.9,36,21,7
83,16.9,2,58,45.9,29,17,5
84,15.5,2,69,38.5,34,20,6
85,16.3,2,60,20.2,30,18,6
86,15.7,2,71,31.5,35,21,7
87,16.4,2,61,41.8,30,18,6
88,15.5,2,44,36.6,22,13,4
89,15.1,2,78,22.7,39,23,7
90,13.1,1,41,19.7,20,12,4
91,13.7,1,66,14.1,33,19,6
92,15.7,2,65,42.7,32,19,6
93,16.6,2,73,37.6,36,21,7
94,12.7,1,75,21.3,37,22,7
95,12.4,1,40,26.6,20,12,4
96,16.9,2,56,38.6,28,16,5
97,15.5,2,56,41.5,28,16,5
98,12.6,1,38,15.1,19,11,3
99,15.1,2,69,46.6,34,20,6
100,15.6,2,51,27.8,25,15,5
101,16,2,64,38,32,19,6
102,16.2,2,65,29.3,32,19,6
103,16.1,2,76,44,38,22,7
104,17,2,59,33.7,29,17,5
105,15.6,2,66,22.2,33,19,6
106,12.5,1,58,25.8,29,17,5
107,15.8,2,83,31.7,41,24,8
108,13.2,1,49,19.9,24,14,4
109,13.1,1,37,28.2,18,10,3
110,13.1,1,44,24.5,22,13,4
111,15.2,2,47,19.4,23,13,4
112,12.9,1,47,36.2,23,13,4
113,13,1,38,16.5,19,11,3
114,13.2,1,60,20,30,18,6
115,15.9,2,62,32.6,31,18,6
116,16.2,2,47,32.7,23,13,4
117,15.3,2,52,38.2,26,15,5
118,15.4,2,50,34.8,25,15,5
119,12.8,1,59,22.1,29,17,5
120,12.7,1,56,15.1,28,16,5
121,12.7,1,42,16.3,21,12,4
122,15.4,2,64,11.1,32,19,6
123,13,1,38,23.5,19,11,3
124,16.3,2,72,32.8,36,21,7
125,12.7,1,78,26.8,39,23,7
126,16.2,2,53,43.9,26,15,5
127,13.4,1,39,19.4,19,11,3
128,13.6,1,44,26.9,22,13,4
129,13,1,47,19.1,23,13,4
130,15.6,2,53,38.6,26,15,5
131,15.1,2,23,31.2,11,6,2
132,15.7,2,63,36.7,31,18,6
133,15.2,2,51,33.8,25,15,5
134,15.1,2,18,34.1,9,5,1
135,16.2,2,56,38.1,28,16,5
136,12.7,1,49,16.8,24,14,4
137,15.6,2,48,38.6,24,14,4
138,16.2,2,59,33.3,29,17,5
139,12.4,1,38,24.9,19,11,3
140,12.9,1,40,24.5,20,12,4
141,15.7,2,59,45.5,29,17,5
142,15.9,2,46,36.9,23,13,4
143,16.4,2,66,27.1,33,19,6
144,15.9,2,62,50.2,31,18,6
145,16.3,2,66,23.6,33,19,6
146,16.6,2,76,23.2,38,22,7
147,15.7,2,87,33.6,43,25,8
148,13.3,1,33,20,16,9,3
149,15.8,2,73,34.2,36,21,7
150,16,2,14,45.7,7,4,1
151,15.5,2,28,39.7,14,8,2
152,12.8,1,50,9.4,25,15,5
153,13.8,1,57,16.9,28,16,5
154,16.3,2,73,21.5,36,21,7
155,13.9,1,45,19.9,22,13,4
156,16.1,2,59,30.7,29,17,5
157,15.6,2,71,48.5,35,21,7
158,12.8,1,41,20.2,20,12,4
159,16.2,2,66,39.5,33,19,6
160,16.3,2,77,16.8,38,22,7
161,15.7,2,88,20.4,44,26,8
162,15.7,2,39,24.9,19,11,3
163,13.3,1,40,25.9,20,12,4
164,15.8,2,40,36.4,20,12,4
165,12.7,1,48,22.3,24,14,4
166,12.6,1,37,23.9,18,10,3
167,12.8,1,59,12.4,29,17,5
168,15.8,2,50,32.5,25,15,5
169,13.6,1,45,14.8,22,13,4
170,16,2,63,30.3,31,18,6
171,12.7,1,45,21.9,22,13,4
172,15.4,2,88,29.8,44,26,8
173,15.3,2,69,23.4,34,20,6
174,13.2,1,58,22.5,29,17,5
175,15.9,2,73,40.9,36,21,7
176,16,2,56,34.5,28,16,5
177,12.7,1,49,20.2,24,14,4
178,15.8,2,65,34.3,32,19,6
179,13.3,1,41,25.7,20,12,4
180,12.3,1,50,15.3,25,15,5
181,12.3,1,53,22.6,26,15,5
182,12.5,1,46,20.5,23,13,4
183,15.7,2,68,38,34,20,6
184,15.4,2,44,30.7,22,13,4
185,16,2,47,19.1,23,13,4
186,16,2,46,38.9,23,13,4
187,13.4,1,32,19.7,16,9,3
188,13,1,45,22.5,22,13,4
189,15.7,2,66,35.1,33,19,6
190,16.3,2,71,30.9,35,21,7
191,15.5,2,49,30,24,14,4
192,13.5,1,51,17.3,25,15,5
193,15.5,2,65,25.8,32,19,6
194,12.2,1,52,18.1,26,15,5
195,12.3,1,37,15.1,18,10,3
196,12.2,1,34,21.5,17,10,3
197,16.2,2,77,27.1,38,22,7
198,15.4,2,60,27.7,30,18,6
199,15.9,2,60,48.4,30,18,6
200,16,2,29,35.4,14,8,2
201,13.3,1,55,28.4,27,16,5
202,15.6,2,19,34.6,9,5,1
203,16.9,2,57,39.8,28,16,5
204,15.4,2,45,31.1,22,13,4
205,15.6,2,62,37.5,31,18,6
206,15.2,2,72,30.4,36,21,7
207,12.6,1,49,28.9,24,14,4
208,16,2,64,27.9,32,19,6
209,16.6,2,71,25.4,35,21,7
210,16.6,2,38,31.1,19,11,3
211,12.4,1,43,21.3,21,12,4
212,15.6,2,38,41.2,19,11,3
213,12.5,1,51,19.5,25,15,5
214,16.1,2,59,40.2,29,17,5
215,15.7,2,47,12.8,23,13,4
216,16.4,2,51,40,25,15,5
217,16,2,46,29.5,23,13,4
218,13.6,1,35,18.4,17,10,3
219,12.9,1,51,19.7,25,15,5
220,12.3,1,36,21.7,18,10,3
221,13.2,1,42,14,21,12,4
222,16,2,78,32.2,39,23,7
223,15.4,2,58,17.7,29,17,5
224,16.2,2,88,32.3,44,26,8
225,13.4,1,44,20.6,22,13,4
226,15.5,2,13,38.6,6,3,1
227,15.3,2,52,36.9,26,15,5
228,12.9,1,51,23.8,25,15,5
229,15.3,2,73,40.3,36,21,7
230,12.6,1,50,16.7,25,15,5
231,15.9,2,52,9.9,26,15,5
232,15.7,2,32,39.8,16,9,3
233,16.7,2,79,35.8,39,23,7
234,15.4,2,65,27.9,32,19,6
235,16.1,2,34,34,17,10,3
236,13.1,1,44,14.6,22,13,4
237,15.8,2,57,43.1,28,16,5
238,15.5,2,48,27,24,14,4
239,15.9,2,84,30.7,42,25,8
240,12.1,1,36,14.1,18,10,3
241,16.2,2,75,43.9,37,22,7
242,15.4,2,72,38.9,36,21,7
243,12.2,1,69,35,34,20,6
244,15.3,2,43,55.3,21,12,4
245,15.1,2,59,40.8,29,17,5
246,16.4,2,69,32.9,34,20,6
247,12.9,1,53,31.6,26,15,5
248,12.4,1,48,20.1,24,14,4
249,15.4,2,71,37,35,21,7
250,16.1,2,66,20.3,33,19,6
251,16.5,2,65,30.9,32,19,6
252,15.1,2,50,46.6,25,15,5
253,16,2,88,37.2,44,26,8
254,13,1,39,22.9,19,11,3
255,12.7,1,39,18.4,19,11,3
256,16.3,2,55,24.3,27,16,5
257,16,2,68,35.2,34,20,6
258,15.7,2,58,44.8,29,17,5
259,16.3,2,87,28,43,25,8
260,13.7,1,39,21.5,19,11,3
261,15.3,2,73,35.5,36,21,7
262,16,2,75,40.7,37,22,7
263,12.5,1,41,29.6,20,12,4
264,16.4,2,45,32.8,22,13,4
265,15.3,2,55,38.4,27,16,5
266,15.5,2,82,36.2,41,24,8
267,15.1,2,64,39.9,32,19,6
268,14.1,1,56,21,28,16,5
269,15.7,2,51,36.9,25,15,5
270,12.5,1,49,21.9,24,14,4
271,13.2,1,37,9.4,18,10,3
272,16.8,2,59,31.8,29,17,5
273,13.1,1,40,18.7,20,12,4
274,16.7,2,62,39.1,31,18,6
275,12.6,1,46,22.2,23,13,4
276,13.3,1,38,15.3,19,11,3
277,13.1,1,58,27.1,29,17,5
278,12.3,1,40,22.5,20,12,4
279,12.8,1,48,10,24,14,4
280,16.6,2,78,34.2,39,23,7
281,15.6,2,56,45.2,28,16,5
282,16.6,2,52,44.1,26,15,5
283,16.3,2,58,44.1,29,17,5
284,16.5,2,66,43.2,33,19,6
285,13,1,50,10.1,25,15,5
286,15.2,2,37,46,18,10,3
287,15.7,2,53,44.2,26,15,5
288,13.1,1,55,20.5,27,16,5
289,12.9,1,41,27.1,20,12,4
290,16.1,2,55,36,27,16,5
291,15.8,2,49,28.2,24,14,4
292,12.7,1,35,9.4,17,10,3
293,15.5,2,39,44.2,19,11,3
294,16.2,2,51,35,25,15,5
