video_id,K,t,D,entertainment_flag,education_flag,r,c,N
1,3,0.5,1,1,0,4.5,0.0005,20
2,2,0.706,1,1,0,5.25,0.000706,36
3,4,1.5923,1,0,0,3.0,0.001592,313
4,3,0.6472,1,1,0,4.5,0.000647,125
5,1,0.9183,1,0,1,1.5,0.000918,23
6,4,1.8861,1,0,0,3.0,0.001886,26
7,3,0.8559,1,1,0,4.5,0.000856,25
8,3,1.5208,1,1,0,4.5,0.001521,20
9,1,5.9648,2,0,1,1.0,0.005965,347
10,3,1.0215,1,1,0,4.5,0.001022,25
11,2,3.9451,2,1,0,3.5,0.003945,26
12,4,2.1223,1,0,0,3.0,0.002122,20
13,3,0.5,1,1,0,4.5,0.0005,20
14,3,0.5,1,1,0,4.5,0.0005,20
15,2,0.5271,1,1,0,5.25,0.000527,30
16,2,0.516,1,1,0,5.25,0.000516,23
17,3,1.1083,1,1,0,4.5,0.001108,20
18,1,2.2429,1,0,1,1.5,0.002243,55
19,3,4.2559,2,1,0,3.0,0.004256,20
20,3,1.6509,1,1,0,4.5,0.001651,58
21,3,0.7768,1,1,0,4.5,0.000777,58
22,2,0.5,1,1,0,5.25,0.0005,436
23,4,1.3018,1,0,0,3.0,0.001302,20
24,4,1.2447,1,0,0,3.0,0.001245,34
25,3,1.4566,1,1,0,4.5,0.001457,20
26,2,9.9681,2,1,0,3.5,0.009968,33
27,3,4.1944,2,1,0,3.0,0.004194,28
28,1,2.6597,1,0,1,1.5,0.00266,324
29,2,0.5,1,1,0,5.25,0.0005,64
30,3,0.7263,1,1,0,4.5,0.000726,40
31,3,1.1033,1,1,0,4.5,0.001103,61
32,4,0.5586,1,0,0,3.0,0.000559,118
33,2,2.0009,1,1,0,5.25,0.002001,23
34,2,1.7334,1,1,0,5.25,0.001733,62
35,3,0.5,1,1,0,4.5,0.0005,38
36,2,4.0147,2,1,0,3.5,0.004015,20
37,1,1.3437,1,0,1,1.5,0.001344,30
38,3,0.5,1,1,0,4.5,0.0005,20
39,2,1.1524,1,1,0,5.25,0.001152,24
40,3,1.607,1,1,0,4.5,0.001607,45
41,2,3.2089,2,1,0,3.5,0.003209,26
42,3,0.8656,1,1,0,4.5,0.000866,71
43,3,2.7762,1,1,0,4.5,0.002776,24
44,2,1.4627,1,1,0,5.25,0.001463,28
45,3,0.5,1,1,0,4.5,0.0005,24
46,3,0.5,1,1,0,4.5,0.0005,56
47,2,3.7274,2,1,0,3.5,0.003727,79
48,2,4.0114,2,1,0,3.5,0.004011,32
49,3,1.6754,1,1,0,4.5,0.001675,75
50,1,5.4133,2,0,1,1.0,0.005413,25
51,2,3.4895,2,1,0,3.5,0.003489,21
52,1,2.4031,1,0,1,1.5,0.002403,256
53,3,0.5,1,1,0,4.5,0.0005,29
54,3,6.8522,2,1,0,3.0,0.006852,21
55,3,2.0739,1,1,0,4.5,0.002074,21
56,3,0.8247,1,1,0,4.5,0.000825,20
57,3,0.6218,1,1,0,4.5,0.000622,26
58,3,1.5682,1,1,0,4.5,0.001568,23
59,1,0.5,1,0,1,1.5,0.0005,126
60,1,2.442,1,0,1,1.5,0.002442,88
61,3,0.5,1,1,0,4.5,0.0005,36
62,3,1.7573,1,1,0,4.5,0.001757,33
63,3,0.72,1,1,0,4.5,0.00072,108
64,3,0.9312,1,1,0,4.5,0.000931,20
65,3,0.5691,1,1,0,4.5,0.000569,59
66,3,1.0324,1,1,0,4.5,0.001032,20
67,3,8.0247,2,1,0,3.0,0.008025,20
68,2,4.8463,2,1,0,3.5,0.004846,72
69,1,1.7291,1,0,1,1.5,0.001729,25
70,2,1.1828,1,1,0,5.25,0.001183,20
71,2,2.8217,1,1,0,5.25,0.002822,412
72,2,3.7551,2,1,0,3.5,0.003755,25
73,4,0.5291,1,0,0,3.0,0.000529,20
74,2,1.1227,1,1,0,5.25,0.001123,30
75,1,0.5,1,0,1,1.5,0.0005,70
76,2,3.7294,2,1,0,3.5,0.003729,24
77,2,9.5656,2,1,0,3.5,0.009566,55
78,3,1.3142,1,1,0,4.5,0.001314,24
79,3,0.5,1,1,0,4.5,0.0005,27
80,3,2.2301,1,1,0,4.5,0.00223,67
81,3,0.5,1,1,0,4.5,0.0005,24
82,2,0.6249,1,1,0,5.25,0.000625,26
83,3,2.2699,1,1,0,4.5,0.00227,20
